event,station,epi_deg,event_time_utc,fc_Hz,noise_median,noise_std,threshold,onset_time_s,search_start,search_end,ref_band_hz,ref_onset_time_s,delay_s
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,3.0,1.9108782549222814e-11,5.713901643871272e-12,3.6250487480836634e-11,5.203070660377307,-20.0,200.0,3.0,5.203070660377307,0.0
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,4.0,1.6140549876320762e-11,5.900116831627819e-12,3.384090037120422e-11,8.336127264150946,-20.0,200.0,3.0,5.203070660377307,3.133056603773639
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,5.0,1.2122906594909776e-11,4.7551120908829445e-12,2.638824286755861e-11,7.903221603773545,-20.0,200.0,3.0,5.203070660377307,2.7001509433962383
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,6.0,7.032577373122293e-12,3.130540559437692e-12,1.642419905143537e-11,6.808617830188723,-20.0,200.0,3.0,5.203070660377307,1.605547169811416
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,7.0,7.1361506934439895e-12,2.1567514974167664e-12,1.3606405185694289e-11,5.977127264151022,-20.0,200.0,3.0,5.203070660377307,0.7740566037737153
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,8.0,5.2695344729060935e-12,1.4759620513862653e-12,9.69742062706489e-12,5.470089528301855,-20.0,200.0,3.0,5.203070660377307,0.26701886792454843
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,9.0,5.546611524015801e-12,1.982840274004208e-12,1.1495132346028425e-11,7.0339951886793415,-20.0,200.0,3.0,5.203070660377307,1.8309245283020346
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,3.0,8.620257773346162e-12,4.611596355602993e-12,2.2455046840155143e-11,6.2673770754717,-20.0,200.0,3.0,6.2673770754717,0.0
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,4.0,7.529209077804584e-12,3.26260484262816e-12,1.7317023605689063e-11,7.783188396226478,-20.0,200.0,3.0,6.2673770754717,1.5158113207547785
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,5.0,5.7511388630423056e-12,2.3090639308685016e-12,1.2678330655647811e-11,5.250584622641554,-20.0,200.0,3.0,6.2673770754717,-1.0167924528301455
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,6.0,4.847071381644068e-12,1.8884025919737585e-12,1.0512279157565344e-11,9.25594311320765,-20.0,200.0,3.0,6.2673770754717,2.98856603773595
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,7.0,3.4345664181080547e-12,1.5723075173248076e-12,8.151488970082477e-12,3.7067921698112514,-20.0,200.0,3.0,6.2673770754717,-2.5605849056604484
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,8.0,3.6126630054081095e-12,1.441101007317397e-12,7.935966027360299e-12,7.869339339622684,-20.0,200.0,3.0,6.2673770754717,1.601962264150984
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,9.0,4.2096285129234705e-12,1.3992573041397866e-12,8.40740042534283e-12,6.973924245283001,-20.0,200.0,3.0,6.2673770754717,0.7065471698113015
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,3.0,3.29874152775679e-11,5.989774293190235e-11,2.1268064407327493e-10,26.642149679245335,-20.0,200.0,3.0,26.642149679245335,0.0
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,4.0,4.813494276967534e-11,3.39205795019486e-11,1.4989668127552113e-10,14.838074207547152,-20.0,200.0,3.0,26.642149679245335,-11.804075471698184
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,5.0,3.820661068937604e-11,3.3228806980760355e-11,1.3789303163165711e-10,14.952979867924455,-20.0,200.0,3.0,26.642149679245335,-11.68916981132088
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,6.0,3.066737226716767e-11,2.5721299058680438e-11,1.0783126944320899e-10,12.906244018867937,-20.0,200.0,3.0,26.642149679245335,-13.735905660377398
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,7.0,2.7791447194040755e-11,2.4835773148391844e-11,1.0229876663921629e-10,33.29858364150948,-20.0,200.0,3.0,26.642149679245335,6.6564339622641455
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,8.0,1.7470705156027035e-11,2.7798019362023712e-11,1.0086476324209818e-10,25.02960250943397,-20.0,200.0,3.0,26.642149679245335,-1.6125471698113643
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,9.0,1.5874380158835196e-11,4.456389915171662e-11,1.4956607761398506e-10,39.75979118867929,-20.0,200.0,3.0,26.642149679245335,13.117641509433952
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,3.0,1.2494201947145798e-11,5.4567217203888574e-12,2.8864367108312372e-11,8.012786339622721,-20.0,200.0,3.0,8.012786339622721,0.0
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,4.0,8.4909852755905e-12,3.4386444603489145e-12,1.8806918656637246e-11,5.342559924528359,-20.0,200.0,3.0,8.012786339622721,-2.670226415094362
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,5.0,6.3526505884699096e-12,2.253018021269499e-12,1.3111704652278407e-11,7.291163698113223,-20.0,200.0,3.0,8.012786339622721,-0.721622641509498
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,6.0,6.1187859501510405e-12,2.69226987031625e-12,1.419559556109979e-11,5.712748603773548,-20.0,200.0,3.0,8.012786339622721,-2.3000377358491733
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,7.0,5.340768238390466e-12,2.0312240223742224e-12,1.1434440305513133e-11,5.410088226415041,-20.0,200.0,3.0,8.012786339622721,-2.60269811320768
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,8.0,4.571800258654875e-12,1.6010124397624287e-12,9.374837577942161e-12,6.94452218867923,-20.0,200.0,3.0,8.012786339622721,-1.0682641509434916
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,9.0,4.439586221029076e-12,1.6006127721938788e-12,9.241424537610712e-12,5.101144830188673,-20.0,200.0,3.0,8.012786339622721,-2.911641509434048
