,tmax_s,tmax_s,tmax_s,tmax_s,tmax_s,tmax_s,td_s,td_s,td_s,td_s,td_s,td_s,Qc,Qc,Qc,Qc,Qc,Qc
,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max
fc_Hz,,,,,,,,,,,,,,,,,,
3.0,4,266.9653082028303,32.08171761510666,275.55388310377367,223.94662235849069,292.80684424528306,4,484.8517132053205,433.97837459015534,286.7798672032494,231.51114406058875,1134.3359743541944,4,4569.6197408587805,4090.1498202878147,2702.8365720095544,2181.9411282147416,10690.864691201272
4.0,4,236.67876103301887,46.86472096658697,248.00627038679244,170.29090439622644,280.4115989622642,4,453.396611596456,311.4590586443376,368.74984064725214,196.67066819479967,879.4160968965201,4,5697.549856615724,3913.9099621241735,4633.847161559257,2471.4365055095136,11051.068597834868
5.0,4,265.80703461792456,30.917266446508908,274.84706526415096,221.2534278490566,292.2805800943397,4,293.83715060327876,117.72844192490729,262.46619881617005,196.40533252168896,454.0108722590859,4,4615.583168435091,1849.274041349307,4122.809410082589,3085.1277488799924,7131.586104695191
6.0,4,277.6473034858491,20.38122901560502,286.29062838679243,247.3880185849057,290.61993858490564,4,326.61325327298374,208.5445842338035,246.61412736474065,182.82011613782925,630.4046422246244,4,6156.514782284809,3930.9728026491293,4648.566784803161,3446.0780027222227,11882.847556810691
7.0,4,275.5368270707547,16.74329270899089,269.2599963113207,263.65018839622644,299.977127264151,4,297.0461628253151,152.74756937151517,251.49973788564017,178.8703634466282,506.3148120833519,4,6532.386300363332,3359.094492538745,5530.768102448999,3933.564738242044,11134.444258313284
8.0,4,292.89442612735843,5.179901654252085,293.2889491415094,286.3787733018868,298.6210329245282,4,258.6082218133795,90.24841094812744,235.59496210316436,182.94149139169923,380.30147165549005,4,6499.533518454662,2268.189958662319,5921.147217328535,4597.821163143381,9558.018476018196
9.0,4,271.88702518396224,39.18328886140683,286.7819520566038,214.9124655849056,299.07173103773584,4,308.5843857518167,148.63655975783473,262.70477619579407,195.73131999700934,513.1966706186694,4,8725.017953613835,4202.599717710665,7427.802554636915,5534.172692820337,14510.294012361173
