,onset_s,onset_s,onset_s,onset_s,onset_s,onset_s,tmax_s,tmax_s,tmax_s,tmax_s,tmax_s,tmax_s,trise_s,trise_s,trise_s,trise_s,trise_s,trise_s
,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max
fc_Hz,,,,,,,,,,,,,,,,,,
3.0,4,11.531345938679266,10.140234835032256,7.1400817075472105,5.203070660377307,26.642149679245335,4,37.715308202830215,9.26963189660225,35.932534537735876,28.429485754717007,50.5666779811321,4,26.18396226415095,3.0845594404990866,25.990566037735846,23.2264150943397,29.528301886792406
4.0,4,9.074987448113234,4.0562233410516555,8.059657830188712,5.342559924528359,14.838074207547152,4,37.22593084433959,4.3919801389757325,36.13179642452826,33.25488650943396,43.385244018867866,4,28.150943396226353,1.8762599105476674,28.6415094339622,25.47169811320748,29.849056603773533
5.0,4,8.849487448113194,4.224078330391892,7.597192650943384,5.250584622641554,14.952979867924455,4,36.05231763679245,6.349203963126965,34.65379642452831,29.948697830188735,44.952979867924455,4,27.202830188679258,2.2744198472117416,27.056603773584925,24.69811320754718,30.0
6.0,4,8.670888391509465,3.188477639089779,8.032280471698186,5.712748603773548,12.906244018867937,4,38.27937895754718,3.5670387603857376,37.4843458584906,35.24258009433959,42.90624401886794,4,29.608490566037716,0.7830188679245683,30.0,28.433962264150864,30.0
7.0,4,12.098147825471699,14.16651406712753,5.693607745283032,3.7067921698112514,33.29858364150948,4,38.74909122169808,8.08518998061382,35.23134359433959,33.70679216981125,50.82688552830189,4,26.65094339622638,6.097356964752761,29.53773584905656,17.528301886792406,30.0
8.0,4,11.328388391509435,9.187423235117839,7.406930764150957,5.470089528301855,25.02960250943397,4,39.90857707075472,10.091424601235563,36.10353227358485,32.60518839622648,54.82205533962269,4,28.580188679245282,2.564759901958303,29.792452830188665,24.735849056603797,30.0
9.0,4,14.717213863207576,16.719149161542212,7.003959716981171,5.101144830188673,39.75979118867929,4,41.45777990094339,12.554787178965626,35.79641254716984,34.04454105660375,60.19375345283015,4,26.740566037735817,4.319048164811172,28.264150943396203,20.433962264150864,30.0
